F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,MPU 1,MPU 2,MPU 3,MPU 4,Actions
667,1023,1020,1022,721,1022,1022,586,688,692,0.81,1.12,0.81,1.12,1
727,1021,1021,1022,713,1023,1022,593,632,651,0.77,1.86,0.79,1.9,1
609,1021,1022,1022,695,1023,1023,605,654,648,0.77,0.63,0.77,0.64,1
607,1023,1020,1022,698,1022,1022,601,644,639,0.77,0.56,0.77,0.55,1
623,1020,1021,1023,740,1023,1022,589,695,660,0.71,1.17,0.72,1.2,1
622,1021,1022,1023,727,1023,1022,588,688,673,0.76,2.12,0.77,2.06,1
622,1023,1017,1022,722,1022,1022,591,628,642,0.8,1.3,0.8,1.31,1
622,1020,1021,1022,718,1023,1022,592,669,644,0.8,1.43,0.76,1.44,1
622,1021,1021,1023,717,1023,1018,600,618,639,0.76,1.56,0.75,1.07,1
625,1023,1023,1023,715,1022,1022,588,672,686,0.79,1.35,0.77,1.35,1
621,1019,1020,1022,715,1022,1022,589,671,674,0.78,1.35,0.76,1.35,1
619,1020,1021,1023,715,1023,1020,597,671,674,0.79,1.32,0.79,1,1
619,1023,1023,1022,715,1022,1022,706,671,677,0.8,0.94,0.76,0.94,1
620,1020,1021,1022,715,1023,1022,600,664,669,0.8,1,0.8,1,1
726,1021,1021,1022,704,1023,1023,660,656,663,0.72,0.89,0.71,0.88,1
1021,1021,1023,1018,671,1022,1023,660,657,663,0.73,0.84,0.72,0.84,1
683,1017,1022,1022,663,1022,1023,659,657,662,0.72,0.87,0.73,0.89,1
1021,1021,1022,1023,667,1022,1022,659,657,662,0.71,0.92,0.71,0.91,1
1021,1021,1021,1022,653,1023,1018,657,656,660,0.72,0.83,0.73,0.84,1
703,1010,1019,1023,683,1021,1022,661,655,659,1.94,0.21,1.04,0.19,1
608,1020,1021,1022,678,1022,1022,613,651,657,2.25,0.32,1.08,0.33,1
650,1021,1021,1022,717,1022,1022,649,601,628,2.65,0.86,1.01,0.02,1
589,1020,1021,1023,687,1022,1022,635,582,627,1.09,0.08,1.1,0.07,1
607,1016,1019,1022,690,1022,1023,600,653,636,1.07,1.03,1.06,1.02,1
1022,1022,1022,1022,690,1022,1023,615,597,600,1.03,0.55,1.03,0.55,1
698,1020,1021,1022,663,1023,1023,606,665,669,1.01,1.33,1.01,1.36,1
662,1023,1023,1020,670,1023,1022,598,670,675,1.04,1.19,1.03,1.23,1
632,1023,1023,1023,686,1022,1022,737,694,669,2.1,1.42,1.08,1.33,1
625,1021,1021,1022,685,1022,1022,600,665,653,1.03,1.34,1.04,1.33,1
728,1020,1021,1022,677,1023,1018,613,617,637,1.04,0.25,1.04,0.24,1
570,1018,1018,1023,658,1023,1021,596,545,578,0.7,0.61,0.85,0.61,2
572,1016,1018,1021,649,1022,1022,601,548,588,0.88,0.73,0.88,0.77,2
576,1019,1020,1022,650,1022,1022,601,546,583,0.89,0.9,0.9,0.56,2
584,1018,1018,1022,660,1020,1020,600,546,583,0.74,0.71,0.73,0.86,2
579,1020,1014,1021,653,1022,1022,601,548,581,0.91,0.95,0.91,0.94,2
574,1018,1019,1022,655,1023,1022,603,548,581,0.7,0.7,0.88,0.73,2
590,1019,1020,1022,657,1023,1019,601,549,594,0.7,0.76,0.71,0.84,2
580,1023,1020,1022,648,1022,1022,599,548,585,0.7,0.08,0.88,0.06,2
600,1019,1019,1022,651,1022,1022,609,559,590,0.72,0.63,0.72,0.72,2
662,1020,1020,1022,701,1023,1023,610,566,597,0.71,0.44,0.71,0.66,2
598,1019,1023,1018,672,1022,1022,598,554,585,0.72,0.82,0.71,0.84,2
614,1018,1019,1022,700,1022,1022,644,570,603,0.87,1.07,0.88,1.04,2
589,1020,1019,1022,665,1023,1023,598,546,579,0.89,0.75,0.72,0.86,2
596,1020,1019,1023,661,1022,1021,612,556,583,0.91,0.48,0.91,0.49,2
593,1018,1018,1022,669,1022,1022,613,554,592,0.89,0.57,0.89,0.59,2
1017,1020,1020,1022,667,1022,1022,597,550,585,0.91,0.99,0.91,0.99,2
596,1019,1018,1022,674,1023,1023,633,586,594,0.89,1.29,0.91,0.82,2
597,1023,1020,1022,673,1022,1021,600,554,585,0.89,0.07,0.89,0.07,2
612,1019,1019,1022,672,1022,1022,605,558,585,0.91,0.66,0.91,0.67,2
611,1019,1018,1021,656,1022,1021,596,553,575,2.02,0.07,1.04,0.08,2
607,1019,1019,1021,661,1022,1022,607,559,581,1.05,0.61,1.06,0.65,2
605,1019,1018,1021,653,1022,1022,617,566,594,1.02,0.03,1.03,0.03,2
613,1019,1019,542,649,1023,1020,600,554,575,1.01,0.39,0.99,0.14,2
632,1015,1018,555,652,1022,1021,606,559,574,1,0.7,0.99,0.7,2
586,1020,1019,1022,656,1023,1022,653,568,558,1.2,0.29,1.2,0.26,2
592,1020,1021,1019,656,1022,1022,650,586,590,1.11,0.36,1.12,0.28,2
585,1019,1018,1021,663,1023,1023,600,555,563,1.11,0.76,1.1,0.65,2
557,1019,1018,1022,667,1023,1022,607,560,579,1.07,1.22,1.06,1.12,2
610,1023,1020,1020,690,1022,1022,644,592,589,1.11,0.16,1.12,0.13,2
585,1018,1018,1022,655,1023,1022,599,557,566,1.07,0.22,1.07,0.23,2
666,1019,1020,1022,748,1020,1022,747,492,637,0.83,1.23,0.83,1.23,3
1019,1019,1021,732,839,1023,1020,806,580,701,0.83,0.75,0.84,0.63,3
1019,1023,1017,717,841,1022,1022,802,576,680,0.83,0.63,0.84,0.63,3
1019,1019,1020,703,814,1022,1022,811,585,708,0.92,1.07,0.92,1.07,3
1020,1019,1021,724,830,1023,1019,796,573,681,0.84,0.71,0.84,0.71,3
1020,1023,1020,701,812,1022,1022,790,568,658,0.83,0.62,0.83,0.62,3
1020,1021,1021,733,781,1022,1022,696,554,635,0.95,1.14,0.95,1.04,3
656,1020,1020,1022,718,1023,1018,688,543,630,0.82,0.93,0.83,0.24,3
1021,1023,1022,703,822,1022,1022,776,579,650,0.76,0.66,0.76,0.67,3
1020,1019,1021,721,832,1022,1022,789,564,659,0.83,0.49,0.83,0.5,3
1020,1021,1021,1022,758,1023,1023,771,581,642,0.84,0.01,0.84,0.03,3
778,1018,1020,1023,726,1022,1022,793,573,667,0.8,0.71,0.8,0.73,3
1023,1018,1020,1022,755,1022,1022,775,589,638,0.84,0.08,0.83,0.16,3
1019,1018,1020,718,828,1022,1022,796,599,692,1.02,0.72,1,0.75,3
1019,1019,1020,702,812,1023,1018,790,651,677,0.94,0.94,0.93,0.94,3
1020,1023,1022,720,825,1022,1022,794,605,692,1.14,0.88,1.14,0.89,3
1020,1020,1021,715,829,1023,1023,799,574,692,1.19,0.61,1.98,0.62,3
1019,1023,1022,710,828,1022,1022,797,532,668,0.77,0.95,1.01,0.95,3
1019,1019,1020,715,824,1021,1022,796,839,681,0.59,0.96,1.01,0.95,3
677,1019,1020,1022,713,1023,1023,712,517,615,2.37,1.25,1.95,1.26,3
761,1019,1020,1022,830,1023,1023,799,531,631,2.14,1.02,1.08,1.09,3
1019,1020,1020,708,832,1023,1022,806,516,700,2.54,1.09,1.04,1.13,3
662,1020,1020,1023,737,1023,1022,734,495,621,0.97,0.98,0.99,0.99,3
1020,1021,1023,779,801,1022,1022,780,961,617,1.32,0.66,1.05,0.74,3
664,1019,1020,1022,760,1023,1023,757,605,630,0.97,1.06,0.97,1.07,3
1019,1019,1023,566,750,1023,1019,719,646,629,1.01,1.05,1,1.05,3
1019,1019,1020,1023,843,1020,1022,812,718,687,1.01,0.83,1.01,0.82,3
1019,1023,1022,1022,781,1022,1022,769,1023,631,1.58,0.49,1.02,0.45,3
594,1019,1020,1022,671,1019,1022,636,563,620,1,1.09,0.99,1.09,3
696,1018,1020,1022,741,1023,1023,711,619,611,1.81,1.51,1.04,1.52,3
667,1021,1022,1023,818,1023,1022,756,627,602,1.04,0.84,1.08,0.84,4
724,1023,1017,715,837,1022,1022,777,601,625,0.8,0.25,0.63,0.25,4
1021,1021,1022,732,846,1023,1022,807,629,550,0.86,0.71,0.86,0.72,4
1022,1022,1022,722,844,1019,1022,758,652,587,0.84,0.97,0.84,0.95,4
1023,1022,1020,710,829,1022,1022,802,634,563,1.04,0.6,1.04,1.12,4
1021,1021,1022,703,826,1022,1022,802,643,557,0.84,0.55,0.84,0.53,4
1021,1021,1022,700,820,1023,1020,797,633,555,0.94,1.18,0.93,1.18,4
1013,1023,1023,736,838,1022,1022,778,623,554,0.82,1.02,0.92,0.15,4
1020,1020,1021,726,835,1023,1022,777,628,554,0.82,1.01,0.92,1,4
1021,1021,1021,704,828,1022,1023,797,624,549,0.93,0.84,0.93,0.85,4
1021,1021,1023,708,837,1022,1022,795,637,548,0.92,0.87,0.92,0.84,4
1020,1019,1021,704,829,1022,1022,791,620,548,0.92,1.21,0.91,1.21,4
1020,1023,1023,769,786,1013,1023,767,627,547,0.94,0.1,0.94,0.08,4
1021,1021,1021,727,777,1020,1021,766,606,540,0.92,0.19,0.92,0.26,4
1023,1020,1020,716,820,1022,1022,790,634,547,0.94,0.56,0.92,0.54,4
1021,1021,1023,713,821,1023,1012,793,619,551,0.91,0.54,0.93,0.51,4
1021,1021,1021,706,822,1023,1021,790,633,549,0.91,1.02,0.91,1.01,4
1021,1023,1020,701,814,1023,1022,787,617,550,0.91,0.52,0.93,0.5,4
1020,1021,1022,709,831,1022,1023,755,644,560,0.83,0.58,0.92,0.63,4
1021,1021,1022,704,828,1022,1023,771,609,557,0.84,0.79,0.93,0.81,4
1021,1021,1023,704,826,1022,1022,785,630,550,0.93,1.33,0.92,1.31,4
724,1020,1021,1022,756,1023,1022,755,597,578,0.85,0.13,0.83,0.14,4
1021,1022,1021,712,829,1023,1023,775,614,577,2.74,1.26,2.78,1.27,4
1020,1020,1021,739,796,1022,1022,763,584,565,2.51,0.58,1.08,0.77,4
1021,1022,1022,1022,760,1022,1023,624,588,584,1.41,1.11,2.02,1.09,4
1021,1022,1022,723,833,1020,1022,631,557,579,0.98,0.91,0.98,0.76,4
749,1016,1021,708,787,1022,1022,781,610,558,1,1.01,0.99,1,4
673,1020,1021,648,746,1023,1023,735,569,565,1,0.22,0.99,0.2,4
651,1023,1023,645,747,1022,1022,762,605,571,1,0.19,0.99,0.19,4
1021,1021,1022,682,791,1023,1023,709,562,580,0.99,0.97,0.99,0.9,4
556,1018,1018,1022,730,1023,1022,625,608,595,1.21,0.41,1.21,0.46,5
573,1018,1018,1022,825,1020,1020,609,556,607,0.9,0.77,1.19,0.78,5
568,1021,1014,1021,809,1022,1022,633,576,612,1.2,1.03,1.21,1.04,5
566,1017,1018,1022,795,1023,1022,592,555,666,1.22,0.62,1.22,0.61,5
616,1017,1018,1022,692,1023,1018,592,561,635,1.21,1.15,1.21,1.15,5
599,1023,1020,1022,693,1022,1022,589,558,658,1.19,1.24,1.22,1.25,5
593,1017,1018,1022,694,1022,1022,587,553,669,1.22,1.13,1.21,1.16,5
592,1023,1022,1023,691,1023,1023,587,548,638,1.18,1.02,1.22,1.02,5
590,1018,1022,1019,688,1022,1022,585,547,657,1.22,0.67,1.19,0.67,5
592,1018,1018,1022,830,1022,1022,587,548,639,0.87,0.96,0.86,0.99,5
580,1018,1018,1022,820,1023,1023,589,548,636,1.23,1.03,1.18,1.04,5
